Hair,,Basic Cut w/ shampoo only,$15*
Hair,,Kids Cut w/ shampoo & style,$20*
Hair,,Designer Cut w/ shampoo & style,$25*
Hair,,Shampoo & Style,$15*
Hair,,Extensions,$150+ (Hair bundles & cylinders extra)
Hair,,In Salon Treatment,$20
Hair,,Updo,$50*
Hair,,Braids,$15*
Color,,Solid Coverage,$50*
Color,,Root Touch-up,$40*
Color,,Part Line Weave,$40*
Color,,Partial Weave,$55*
Color,,Full Weave,$70*
Color,,Multi-Color Weave,$70* + (add $10/color)
Color,,Balayage/Ombre',$100*
Color,,Toner,$15
Color,,Color Correction,****
VersaSpa Spray Tan,,Full body,$35
VersaSpa Spray Tan,,Legs only,$25
VersaSpa Spray Tan,,Face only,$20
Massage,Swedish Massage,30/minutes,$35
Massage,Swedish Massage,50/minutes,$50
Massage,Sports Massage,30/minutes,$40
Massage,Sports Massage,50/minutes,$55
Massage,Deep Tissue Massage,30/minutes,$50
Massage,Deep Tissue Massage,50/minutes,$65
Massage,Hot Stone Massage,30/minutes,$45
Massage,Hot Stone Massage,50/minutes,$60
Massage,Signature Combo Massage,60/minutes,$90
Massage,Couples Massage,50/minutes,$110
Massage,Four-hands Massage,50/minutes,$100
Massage,Reflexology,Hands only,$30
Massage,Reflexology,Feet only,$30
Massage,Reflexology,Hands & Feet,$55
Massage,Body Wraps,Moisturizing Body Wrap,$75
Massage,Body Wraps,Seaweed Detox Body Wrap,$75
Massage,Body Wraps,Salt-glow Body Wrap,$75
Xtreme Eyelash Extensions,,Full Set,$200+
Xtreme Eyelash Extensions,,1 week relash,$25+
Xtreme Eyelash Extensions,,2 week relash,$50+
Xtreme Eyelash Extensions,,3 week relash,$75+
Xtreme Eyelash Extensions,,4 week relash,$125+
Facials,,Dermalogica Customized Facial,$65
Facials,,Micro-zone treatment,$30
Facials,,Pkg of 3 MZ's,$28/ea
Facials,,Pkg of 6 MZ's,$26/ea
Body Waxing,,Eyebrows,$15
Body Waxing,,Chin,$13
Body Waxing,,Upper Lip,$13
Body Waxing,,"Lip,Chin,Eyebrows",$36
Body Waxing,,Underarm,$21
Body Waxing,,Arm,$39
Body Waxing,,Back,$58
Body Waxing,,Chest,$58
Body Waxing,,Bikini,$30
Body Waxing,,Brazilian,$54
Body Waxing,,Inner thigh/Bikini,$58
Body Waxing,,Inner thigh/Brazilian,$72
Body Waxing,,Half leg,$39
Body Waxing,,Full leg,$67
Body Waxing,,Half leg/Bikini,$63
Body Waxing,,Full leg/Bikini,$83
Body Waxing,,Half leg/Brazilian,$84
Body Waxing,,Full leg/Brazilian,$109
Nails,Acrylic Nails,4-Ever French Full Set,$50
Nails,Acrylic Nails,Overlay Full Set,$40
Nails,Acrylic Nails,Overlay Balance (one color),$30
Nails,Acrylic Nails,4-Ever French Balance,$40
Nails,Natural Nails,Manicure,$20
Nails,Natural Nails,Signature Spa Manicure,$25
Nails,Natural Nails,Mini Manicure,$15
Nails,Natural Nails,Pedicure,$38
Nails,Natural Nails,Signature Spa Pedicure,$45
Nails,Natural Nails,Mini Pedicure,$25
Nails,Natural Nails,French Polish,+$5
Nails,Natural Nails,Gentleman's Foot Service,$40
Nails,Shellac,Shellac polish w/ manicure,$40
Nails,Shellac,Shellac Polish,$20
Nails,Shellac,Shellac French Polish,$25
Nails,Shellac,Shellac Polish Change,$25
Nails,Shellac,Shellac Pedi (Basic),$48
Nails,Shellac,Shellac Pedi (Signature),$55
Nails,Shellac,Shellac Polish Removal,$5
Nails,Ala Carte,Regular Polish Change,$10
Nails,Ala Carte,French Polish Change,$15
Nails,Ala Carte,Acrylic Nail (single) Replacement,$5
Nails,Ala Carte,Acrylic Nail Removal,$25
Nails,Ala Carte,Nail Art,$5/two nails.
Color Tinting,,Eyebrows,$19
Color Tinting,,Eyelashes,$19
Color Tinting,,Brows & Lashes,$35
Make-up,,Reg. make-up application,$50  
Aufait Touch Signature Packages,Ladies(Spa) Night Out,Choice of three “mini” spa services for each lady,"$85.00/each for groups of 3+, $95.00/each individual"
Aufait Touch Signature Packages,Sweet 16,"'Mini' Mani & Pedi, M/Z Facial treatment, Make-up application & instruction",$105.00
Aufait Touch Signature Packages,Pampered Femme,Customized Facial,"50-Minute Swedish Massage, Signature Spa Manicure & Pedicure",$167.50
Aufait Touch Signature Packages,Personalized Package,Custom packages based on the services you choose!,Price varies depending on the services chosen
Aufait Touch Signature Packages,Bridal & Prom Packages,,Starting at $ 81.00
